G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 20 2013,,,Box Score,@,Denver Nuggets,L,,95,97,0,1,L 1,
2,Tue Apr 23 2013,,,Box Score,@,Denver Nuggets,W,,131,117,1,1,W 1,
3,Fri Apr 26 2013,,,Box Score,,Denver Nuggets,W,,110,108,2,1,W 2,
4,Sun Apr 28 2013,,,Box Score,,Denver Nuggets,W,,115,101,3,1,W 3,
5,Tue Apr 30 2013,,,Box Score,@,Denver Nuggets,L,,100,107,3,2,L 1,
6,Thu May 2 2013,,,Box Score,,Denver Nuggets,W,,92,88,4,2,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
7,Mon May 6 2013,,,Box Score,@,San Antonio Spurs,L,2OT,127,129,4,3,L 1,
8,Wed May 8 2013,,,Box Score,@,San Antonio Spurs,W,,100,91,5,3,W 1,
9,Fri May 10 2013,,,Box Score,,San Antonio Spurs,L,,92,102,5,4,L 1,
10,Sun May 12 2013,,,Box Score,,San Antonio Spurs,W,OT,97,87,6,4,W 1,
11,Tue May 14 2013,,,Box Score,@,San Antonio Spurs,L,,91,109,6,5,L 1,
12,Thu May 16 2013,,,Box Score,,San Antonio Spurs,L,,82,94,6,6,L 2,
